# This is finesse result simulated at 2020-10-06 15:31:27.008841 
# x pd0_AS pd0_REFL 
-180.0 0.0358652503709881 0.958139877096034
-179.64 0.0360108824544933 0.957994245012528
-179.28 0.0364476867645411 0.957557440702481
-178.92 0.0371753874061948 0.956829740060827
-178.56 0.0381935247481596 0.955811602718862
-178.2 0.039501455713096 0.954503671753926
-177.84 0.0410983541838003 0.952906773283221
-177.48 0.0429832115249993 0.951021915942022
-177.12 0.0451548372204244 0.948850290246597
-176.76 0.0476118596247685 0.946393267842253
-176.4 0.0503527268300456 0.943652400636976
-176.04 0.0533757076458097 0.940629419821212
-175.68 0.0566788926926113 0.93732623477441
-175.32 0.0602601956080036 0.933744931859018
-174.96 0.0641173543643308 0.929887773102691
-174.6 0.0682479326974781 0.925757194769544
-174.24 0.0726493216456631 0.921355805821359
-173.88 0.0773187411973146 0.916686386269707
-173.52 0.0822532420469882 0.911751885420033
-173.16 0.0874497074582093 0.906555420008812
-172.8 0.0929048552320696 0.901100272234952
-172.44 0.0986152397803393 0.895389887686682
-172.08 0.104577254301767 0.889427873165255
-171.72 0.11078713306022 0.883217994406801
-171.36 0.117240953763198 0.876764173703823
-171.0 0.123934640039242 0.87007048742778
-170.64 0.130863964012653 0.863141163454369
-170.28 0.138024548973912 0.85598057849311
-169.92 0.145411872144106 0.848593255322916
-169.56 0.153021267531603 0.840983859935419
-169.2 0.160847928879205 0.833157198587816
-168.84 0.168886912699872 0.82511821476715
-168.48 0.177133141399141 0.816871986067881
-168.12 0.185581406482239 0.808423720984783
-167.76 0.194226371843885 0.799778755623137
-167.4 0.203062577138683 0.790942550328339
-167.04 0.212084441229996 0.781920686237025
-166.68 0.221286265715113 0.772718861751908
-166.32 0.230662238524481 0.76334288894254
-165.96 0.240206437592729 0.753798689874293
-165.6 0.249912834599177 0.744092292867845
-165.24 0.25977529877545 0.734229828691572
-164.88 0.269787600777802 0.724217526689219
-164.52 0.279943416621706 0.714061710845316
-164.16 0.290236331676214 0.703768795790808
-163.8 0.300659844715577 0.693345282751445
-163.44 0.311207372025563 0.682797755441459
-163.08 0.321872251561862 0.67213287590516
-162.72 0.332647747157987 0.661357380309035
-162.36 0.343527052779972 0.650478074687049
-162.0 0.354503296825219 0.639501830641803
-161.64 0.365569546462737 0.628435581004284
-161.28 0.376718812012075 0.617286315454946
-160.92 0.387944051358154 0.606061076108867
-160.56 0.399238174399217 0.594766953067805
-160.2 0.410594047525083 0.583411079941939
-159.84 0.422004498122896 0.572000629344126
-159.48 0.433462319107502 0.56054280835952
-159.12 0.444960273473588 0.549044853993434
-158.76 0.45649109886674 0.537514028600281
-158.4 0.468047512170499 0.525957615296523
-158.04 0.479622214106531 0.51438291336049
-157.68 0.491207893845008 0.502797233622014
-157.32 0.50279723362229 0.491207893844732
-156.96 0.514382913362971 0.479622214104051
-156.6 0.525957615303409 0.468047512163613
-156.24 0.537514028613769 0.456491098853253
-155.88 0.54904485401571 0.444960273451311
-155.52 0.560542808392762 0.433462319074259
-155.16 0.572000629390496 0.422004498076526
-154.8 0.583411080003583 0.410594047463439
-154.44 0.59476695314685 0.399238174320171
-154.08 0.606061076207417 0.387944051259605
-153.72 0.617286315575083 0.376718811891939
-153.36 0.628435581148058 0.365569546318964
-153.0 0.639501830811237 0.354503296655785
-152.64 0.650478074884132 0.343527052582889
-152.28 0.661357380535722 0.332647746931299
-151.92 0.672132876163367 0.321872251303655
-151.56 0.682797755733064 0.311207371733958
-151.2 0.69334528307828 0.300659844388742
-150.84 0.703768796154662 0.29023633131236
-150.48 0.71406171124793 0.279943416219092
-150.12 0.724217527132284 0.269787600334738
-149.76 0.734229829176726 0.259775298290296
-149.4 0.744092293396672 0.24991283407035
-149.04 0.753798690448321 0.240206437018701
-148.68 0.763342889563237 0.230662237903784
-148.32 0.772718862420682 0.22128626504634
-147.96 0.781920686955221 0.212084440511801
-147.6 0.790942551097236 0.203062576369786
-147.24 0.799778756443947 0.194226371023074
-146.88 0.808423721858652 0.18558140560837
-146.52 0.816871986995882 0.177133140471139
-146.16 0.825118215750286 0.168886911716736
-145.8 0.833157199627015 0.160847927840006
-145.44 0.840983861031533 0.153021266435489
-145.08 0.848593256476723 0.145411870990299
-144.72 0.855980579705304 0.138024547761717
-144.36 0.863141164725571 0.130863962741451
-144.0 0.870070488758526 0.123934638708495
-143.64 0.87676417509457 0.117240952372452
-143.28 0.88321799585792 0.110787131609102
-142.92 0.889427874677033 0.104577252789989
-142.56 0.895389889259324 0.0986152382076976
-142.2 0.901100273868574 0.0929048535984481
-141.84 0.906555421703445 0.0874497057635773
-141.48 0.911751887175619 0.0822532402914034
-141.12 0.9166863880861 0.0773187393809219
-140.76 0.921355807698326 0.0726493197686959
-140.4 0.925757196706762 0.0682479307602599
-140.04 0.929887775099749 0.0641173523672731
-139.68 0.933744933915414 0.0602601935516077
-139.32 0.937326236889553 0.0566788905774689
-138.96 0.94062942199442 0.0533757054726019
-138.6 0.943652402867478 0.0503527245995433
-138.24 0.946393270129189 0.0476118573378323
-137.88 0.948850292589017 0.0451548348780044
-137.52 0.951021918338887 0.0429832091281347
-137.16 0.952906775733402 0.041098351733619
-136.8 0.954503674256207 0.0395014532108145
-136.44 0.95581160527194 0.0381935221950821
-136.08 0.956829742663309 0.0371753848037125
-135.72 0.95755744335289 0.0364476841141319
-135.36 0.957994247709301 0.0360108797577204
-135.0 0.958139879837522 0.0358652476294995
-134.64 0.957994247753151 0.0360108797138705
-134.28 0.957557443440506 0.0364476840265152
-133.92 0.956829742794527 0.037175384672495
